seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,fixed_delta_40,i6_r4_s1,4,arrival,210,medium,686,686.0,675,0.016296296296296295,0.035009180095564175,140,0,0
1,fixed_critical_40,i6_r4_s1,0,base,225,medium,713,713.0,713,0.0,0.015180072337888612,104,0,0
1,fixed_critical_40,i6_r4_s1,1,duration_jitter,225,medium,732,733.0,720,0.016666666666666666,0.08110889222017748,106,1,1
1,fixed_critical_40,i6_r4_s1,2,cancellation,210,medium,712,712.0,705,0.009929078014184398,0.017582828329656443,122,0,0
1,fixed_critical_40,i6_r4_s1,3,cancellation,195,medium,673,673.0,667,0.008995502248875561,0.02042181749575606,153,0,0
1,fixed_critical_40,i6_r4_s1,4,arrival,210,medium,684,684.0,675,0.013333333333333334,0.025763141903038893,129,0,0
1,fixed_machine_40,i6_r4_s1,0,base,225,medium,713,713.0,713,0.0,0.015540989743231998,91,0,0
1,fixed_machine_40,i6_r4_s1,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.0840819548443283,91,0,0
1,fixed_machine_40,i6_r4_s1,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.017376106904860064,106,1,2
1,fixed_machine_40,i6_r4_s1,3,cancellation,195,medium,673,673.0,667,0.008995502248875561,0.018247609790280193,137,0,0
1,fixed_machine_40,i6_r4_s1,4,arrival,210,medium,676,676.0,675,0.0014814814814814814,0.024968021529304142,119,0,0
1,fixed_bottleneck_40,i6_r4_s1,0,base,225,medium,713,713.0,713,0.0,0.015037592318302335,93,0,0
1,fixed_bottleneck_40,i6_r4_s1,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08199980477726468,92,0,0
1,fixed_bottleneck_40,i6_r4_s1,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.01698512519184246,109,1,2
1,fixed_bottleneck_40,i6_r4_s1,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.012951950129376189,131,0,0
1,fixed_bottleneck_40,i6_r4_s1,4,arrival,210,medium,695,695.0,675,0.02962962962962963,0.04001992736445499,113,0,0
